Date;Open;High;Low;Close;Adj Close;Volume
01/08/1987;0.000000;4.330.065;4.044.118;4.248.366;0.721944;12410136
01/09/1987;0.000000;4.289.216;3.901.144;4.268.791;0.725415;7003728
01/10/1987;0.000000;4.554.739;3.533.497;3.625.408;0.616082;13561920
01/11/1987;0.000000;3.901.144;3.349.673;3.880.719;0.659468;3942504
01/12/1987;0.000000;4.044.118;3.809.232;4.044.118;0.687236;2161584
01/01/1988;0.000000;4.268.791;4.064.542;4.105.392;0.697648;587520
01/02/1988;4.115.605;4.146.242;4.044.118;4.084.967;0.694177;1707480
01/03/1988;4.105.392;4.309.641;4.105.392;4.217.729;0.716738;962064
01/04/1988;4.217.729;4.554.739;4.217.729;4.554.739;0.774008;2282760
01/05/1988;4.534.314;4.789.624;4.534.314;4.758.987;0.815520;3249720
01/06/1988;4.820.261;5.228.758;4.820.261;4.820.261;0.826020;1922904
01/07/1988;4.820.261;4.820.261;4.411.765;4.554.739;0.780519;359856
01/08/1988;4.575.163;4.575.163;4.289.216;4.411.765;0.756018;326808
01/09/1988;4.411.765;4.554.739;4.411.765;4.493.464;0.770018;159120
01/10/1988;4.452.614;4.922.386;4.452.614;4.881.536;0.836520;1719720
01/11/1988;4.871.324;4.901.961;4.799.837;4.901.961;0.843345;230112
01/12/1988;4.922.386;4.942.810;4.820.261;4.901.961;0.843345;960840
01/01/1989;4.942.810;5.024.510;4.789.624;4.820.261;0.829289;973080
01/02/1989;4.779.412;4.820.261;4.411.765;4.473.039;0.769552;238680
01/03/1989;4.452.614;4.697.712;4.452.614;4.677.288;0.804691;160344
01/04/1989;4.718.137;4.861.111;4.493.464;4.493.464;0.773066;1096704
01/05/1989;4.493.464;4.493.464;4.105.392;4.105.392;0.713092;153000
01/06/1989;4.156.454;4.156.454;3.982.843;4.125.817;0.716640;324360
01/07/1989;4.125.817;4.432.190;4.125.817;4.319.853;0.750343;223992
01/08/1989;4.370.915;4.401.552;4.268.791;4.309.641;0.748569;296208
01/09/1989;4.309.641;4.605.801;4.268.791;4.513.889;0.784046;390456
01/10/1989;4.493.464;4.503.676;4.187.092;4.238.154;0.736152;132192
01/11/1989;4.187.092;4.258.578;4.187.092;4.258.578;0.748677;91800
01/12/1989;4.258.578;4.432.190;4.166.667;4.411.765;0.775608;386784
01/01/1990;4.421.977;4.452.614;3.880.719;3.941.993;0.693020;800496
01/02/1990;3.962.418;4.187.092;3.370.098;3.370.098;0.592478;435744
01/03/1990;3.400.735;3.553.922;2.900.327;2.900.327;0.509890;227664
01/04/1990;2.777.778;3.778.595;2.777.778;3.758.170;0.660702;351288
01/05/1990;3.758.170;3.962.418;3.513.072;3.656.046;0.654717;232560
01/06/1990;3.676.471;4.064.542;3.615.196;4.013.480;0.718725;212976
01/07/1990;4.054.330;4.493.464;4.054.330;4.146.242;0.742500;465120
01/08/1990;4.146.242;4.146.242;3.594.771;3.737.745;0.669347;77112
01/09/1990;3.758.170;3.758.170;3.063.725;3.125.000;0.559618;348840
01/10/1990;3.125.000;4.125.817;3.125.000;3.921.569;0.702266;391680
01/11/1990;3.901.144;4.156.454;3.839.869;3.839.869;0.700431;570384
01/12/1990;3.941.993;4.166.667;3.717.320;3.829.657;0.698568;204408
01/01/1991;3.819.444;4.115.605;3.431.373;4.115.605;0.750728;394128
01/02/1991;4.064.542;4.564.951;4.064.542;4.452.614;0.812202;1192176
01/03/1991;4.462.827;4.493.464;4.248.366;4.350.490;0.793574;880056
01/04/1991;4.350.490;4.493.464;4.064.542;4.146.242;0.756316;1115064
01/05/1991;4.125.817;4.452.614;4.044.118;4.227.941;0.781799;303552
01/06/1991;4.227.941;4.227.941;3.676.471;3.727.533;0.689267;1121184
01/07/1991;3.717.320;3.870.507;3.574.346;3.839.869;0.710040;594864
01/08/1991;3.829.657;3.962.418;3.615.196;3.880.719;0.717593;315792
01/09/1991;3.860.294;4.023.693;3.860.294;4.003.268;0.740254;782136
01/10/1991;3.982.843;3.982.843;3.737.745;3.839.869;0.710040;328032
01/11/1991;3.880.719;3.880.719;3.298.611;3.339.461;0.630027;668304
01/12/1991;3.308.824;3.513.072;3.165.850;3.513.072;0.662781;432072
01/01/1992;3.472.222;3.880.719;3.370.098;3.758.170;0.709021;1085688
01/02/1992;3.758.170;3.941.993;3.676.471;3.921.569;0.739848;369648
01/03/1992;3.962.418;3.962.418;3.533.497;3.615.196;0.682048;1992672
01/04/1992;3.533.497;3.717.320;3.482.435;3.717.320;0.701315;1416168
01/05/1992;3.717.320;4.013.480;3.645.833;3.921.569;0.746892;2044080
01/06/1992;3.982.843;4.044.118;3.656.046;3.890.931;0.741057;2000016
01/07/1992;3.890.931;3.921.569;3.125.000;3.145.425;0.599069;3239928
01/08/1992;3.104.575;3.206.699;2.859.477;3.176.062;0.604905;2107728
01/09/1992;3.206.699;3.615.196;2.941.176;2.961.601;0.564059;5255856
01/10/1992;2.818.627;3.063.725;2.696.078;2.951.389;0.562114;5045328
01/11/1992;2.890.114;3.247.549;2.869.690;3.216.912;0.635013;3936384
