Date,Open,High,Low,Close,Adj Close,Volume
1987-06-12,2.006067,2.085854,1.960475,2.051660,0.460372,50527023
1987-06-15,2.108650,2.120048,2.051660,2.063058,0.462930,17437104
1987-06-16,2.063058,2.063058,1.971873,1.983271,0.445026,14805088
1987-06-17,2.006067,2.006067,1.971873,1.994669,0.447584,4271542
1987-06-18,1.994669,2.085854,1.994669,2.085854,0.468045,8514571
1987-06-19,2.074456,2.222631,2.051660,2.177039,0.488506,13927749
1987-06-22,2.188437,2.256826,2.188437,2.256826,0.506409,11844070
1987-06-23,2.245427,2.245427,2.188437,2.222631,0.498736,4225482
1987-06-24,2.108650,2.165641,2.108650,2.108650,0.473160,2632016
1987-06-25,2.142844,2.222631,2.142844,2.199835,0.493621,8267819
1987-06-26,2.211233,2.222631,2.177039,2.188437,0.491064,6136983
1987-06-29,2.188437,2.188437,2.142844,2.188437,0.491064,1933435
1987-06-30,2.165641,2.165641,2.131446,2.142844,0.480833,3532384
1987-07-01,2.165641,2.165641,2.074456,2.085854,0.468045,5266225
1987-07-02,2.074456,2.108650,2.063058,2.074456,0.465487,2308497
1987-07-06,2.097252,2.131446,2.097252,2.120048,0.475718,2133029
1987-07-07,2.120048,2.177039,2.120048,2.154243,0.483391,4455783
1987-07-08,2.165641,2.222631,2.097252,2.211233,0.496179,10008239
1987-07-09,2.222631,2.291020,2.211233,2.268224,0.508967,14256751
1987-07-10,2.302418,2.313816,2.234029,2.234029,0.501294,7440928
1987-07-13,2.211233,2.222631,2.199835,2.222631,0.498736,4945996
1987-07-14,2.211233,2.222631,2.188437,2.199835,0.493621,5699411
1987-07-15,2.222631,2.302418,2.211233,2.291020,0.514082,9826192
1987-07-16,2.313816,2.416399,2.313816,2.416399,0.542216,12721409
1987-07-17,2.450593,2.507584,2.450593,2.484788,0.557562,15682426
1987-07-20,2.484788,2.484788,2.439195,2.439195,0.547331,7806120
1987-07-21,2.416399,2.439195,2.405001,2.405001,0.539658,9786711
1987-07-22,2.382205,2.393603,2.313816,2.313816,0.519197,4136651
1987-07-23,2.348010,2.393603,2.336612,2.336612,0.524312,6955101
1987-07-24,2.348010,2.450593,2.348010,2.382205,0.534543,6717123
1987-07-27,2.405001,2.439195,2.359408,2.370807,0.531985,3589411
1987-07-28,2.393603,2.450593,2.393603,2.439195,0.547331,4317602
1987-07-29,2.496186,2.518982,2.473390,2.507584,0.562677,8657138
1987-07-30,2.541778,2.553176,2.518982,2.518982,0.565234,4575321
1987-07-31,2.564574,2.644361,2.564574,2.644361,0.593368,4292379
1987-08-03,2.644361,2.667157,2.575973,2.575973,0.578023,1615400
1987-08-04,2.587371,2.610167,2.541778,2.610167,0.585696,3102488
1987-08-05,2.553176,2.553176,2.507584,2.507584,0.562677,6603069
1987-08-06,2.530380,2.530380,2.496186,2.507584,0.562677,1742614
1987-08-07,2.530380,2.644361,2.530380,2.610167,0.585696,2834900
1987-08-10,2.655759,2.689954,2.644361,2.667157,0.598484,3494001
1987-08-11,2.678556,2.678556,2.621565,2.667157,0.598484,3763782
1987-08-12,2.678556,2.678556,2.644361,2.655759,0.595926,3195706
1987-08-13,2.621565,2.632963,2.598769,2.610167,0.585696,1416902
1987-08-14,2.632963,2.632963,2.541778,2.553176,0.572907,4564354
1987-08-17,2.541778,2.541778,2.507584,2.518982,0.565234,2296434
1987-08-18,2.541778,2.541778,2.507584,2.530380,0.567792,1818284
1987-08-19,2.507584,2.507584,2.484788,2.496186,0.560119,2124256
1987-08-20,2.530380,2.530380,2.484788,2.518982,0.565234,2468611
1987-08-21,2.541778,2.541778,2.507584,2.530380,0.567792,652521
1987-08-24,2.541778,2.610167,2.541778,2.575973,0.578023,859792
1987-08-25,2.587371,2.598769,2.575973,2.587371,0.580580,3306470
