Date;Open;High;Low;Close;Adj Close;Volume
12/06/1987;2.006.067;2.085.854;1.960.475;2.051.660;0.460372;50527023
15/06/1987;2.108.650;2.120.048;2.051.660;2.063.058;0.462930;17437104
16/06/1987;2.063.058;2.063.058;1.971.873;1.983.271;0.445026;14805088
17/06/1987;2.006.067;2.006.067;1.971.873;1.994.669;0.447584;4271542
18/06/1987;1.994.669;2.085.854;1.994.669;2.085.854;0.468045;8514571
19/06/1987;2.074.456;2.222.631;2.051.660;2.177.039;0.488506;13927749
22/06/1987;2.188.437;2.256.826;2.188.437;2.256.826;0.506409;11844070
23/06/1987;2.245.427;2.245.427;2.188.437;2.222.631;0.498736;4225482
24/06/1987;2.108.650;2.165.641;2.108.650;2.108.650;0.473160;2632016
25/06/1987;2.142.844;2.222.631;2.142.844;2.199.835;0.493621;8267819
26/06/1987;2.211.233;2.222.631;2.177.039;2.188.437;0.491064;6136983
29/06/1987;2.188.437;2.188.437;2.142.844;2.188.437;0.491064;1933435
30/06/1987;2.165.641;2.165.641;2.131.446;2.142.844;0.480833;3532384
01/07/1987;2.165.641;2.165.641;2.074.456;2.085.854;0.468045;5266225
02/07/1987;2.074.456;2.108.650;2.063.058;2.074.456;0.465487;2308497
06/07/1987;2.097.252;2.131.446;2.097.252;2.120.048;0.475718;2133029
07/07/1987;2.120.048;2.177.039;2.120.048;2.154.243;0.483391;4455783
08/07/1987;2.165.641;2.222.631;2.097.252;2.211.233;0.496179;10008239
09/07/1987;2.222.631;2.291.020;2.211.233;2.268.224;0.508967;14256751
10/07/1987;2.302.418;2.313.816;2.234.029;2.234.029;0.501294;7440928
13/07/1987;2.211.233;2.222.631;2.199.835;2.222.631;0.498736;4945996
14/07/1987;2.211.233;2.222.631;2.188.437;2.199.835;0.493621;5699411
15/07/1987;2.222.631;2.302.418;2.211.233;2.291.020;0.514082;9826192
16/07/1987;2.313.816;2.416.399;2.313.816;2.416.399;0.542216;12721409
17/07/1987;2.450.593;2.507.584;2.450.593;2.484.788;0.557562;15682426
20/07/1987;2.484.788;2.484.788;2.439.195;2.439.195;0.547331;7806120
21/07/1987;2.416.399;2.439.195;2.405.001;2.405.001;0.539658;9786711
22/07/1987;2.382.205;2.393.603;2.313.816;2.313.816;0.519197;4136651
23/07/1987;2.348.010;2.393.603;2.336.612;2.336.612;0.524312;6955101
24/07/1987;2.348.010;2.450.593;2.348.010;2.382.205;0.534543;6717123
27/07/1987;2.405.001;2.439.195;2.359.408;2.370.807;0.531985;3589411
28/07/1987;2.393.603;2.450.593;2.393.603;2.439.195;0.547331;4317602
29/07/1987;2.496.186;2.518.982;2.473.390;2.507.584;0.562677;8657138
30/07/1987;2.541.778;2.553.176;2.518.982;2.518.982;0.565234;4575321
31/07/1987;2.564.574;2.644.361;2.564.574;2.644.361;0.593368;4292379
03/08/1987;2.644.361;2.667.157;2.575.973;2.575.973;0.578023;1615400
04/08/1987;2.587.371;2.610.167;2.541.778;2.610.167;0.585696;3102488
05/08/1987;2.553.176;2.553.176;2.507.584;2.507.584;0.562677;6603069
06/08/1987;2.530.380;2.530.380;2.496.186;2.507.584;0.562677;1742614
07/08/1987;2.530.380;2.644.361;2.530.380;2.610.167;0.585696;2834900
10/08/1987;2.655.759;2.689.954;2.644.361;2.667.157;0.598484;3494001
11/08/1987;2.678.556;2.678.556;2.621.565;2.667.157;0.598484;3763782
12/08/1987;2.678.556;2.678.556;2.644.361;2.655.759;0.595926;3195706
13/08/1987;2.621.565;2.632.963;2.598.769;2.610.167;0.585696;1416902
14/08/1987;2.632.963;2.632.963;2.541.778;2.553.176;0.572907;4564354
17/08/1987;2.541.778;2.541.778;2.507.584;2.518.982;0.565234;2296434
18/08/1987;2.541.778;2.541.778;2.507.584;2.530.380;0.567792;1818284
19/08/1987;2.507.584;2.507.584;2.484.788;2.496.186;0.560119;2124256
20/08/1987;2.530.380;2.530.380;2.484.788;2.518.982;0.565234;2468611
21/08/1987;2.541.778;2.541.778;2.507.584;2.530.380;0.567792;652521
24/08/1987;2.541.778;2.610.167;2.541.778;2.575.973;0.578023;859792
25/08/1987;2.587.371;2.598.769;2.575.973;2.587.371;0.580580;3306470
26/08/1987;2.598.769;2.598.769;2.553.176;2.553.176;0.572907;2934697
27/08/1987;2.564.574;2.610.167;2.553.176;2.598.769;0.583138;3112358
28/08/1987;2.587.371;2.644.361;2.553.176;2.587.371;0.580580;1437739
31/08/1987;2.610.167;2.621.565;2.598.769;2.598.769;0.583138;1071450
01/09/1987;2.598.769;2.610.167;2.553.176;2.553.176;0.572907;1174537
02/09/1987;2.553.176;2.553.176;2.496.186;2.507.584;0.562677;4227675
03/09/1987;2.473.390;2.496.186;2.461.991;2.496.186;0.560119;1094480
04/09/1987;2.530.380;2.598.769;2.530.380;2.575.973;0.578023;10756171
08/09/1987;2.575.973;2.575.973;2.507.584;2.518.982;0.565234;6428698
09/09/1987;2.518.982;2.518.982;2.484.788;2.507.584;0.562677;2092452
10/09/1987;2.541.778;2.541.778;2.530.380;2.541.778;0.570350;2559635
11/09/1987;2.553.176;2.575.973;2.541.778;2.564.574;0.575465;1560566
14/09/1987;2.598.769;2.621.565;2.587.371;2.621.565;0.588253;1865441
15/09/1987;2.598.769;2.598.769;2.553.176;2.587.371;0.580580;2150576
16/09/1987;2.587.371;2.587.371;2.564.574;2.564.574;0.575465;1308331
17/09/1987;2.587.371;2.587.371;2.575.973;2.575.973;0.578023;2333721
18/09/1987;2.598.769;2.610.167;2.541.778;2.541.778;0.570350;3992987
21/09/1987;2.564.574;2.564.574;2.496.186;2.518.982;0.565234;3419427
22/09/1987;2.507.584;2.507.584;2.427.797;2.461.991;0.552446;1238144
23/09/1987;2.461.991;2.473.390;2.450.593;2.473.390;0.555004;2662722
24/09/1987;2.461.991;2.473.390;2.450.593;2.450.593;0.549889;686517
25/09/1987;2.450.593;2.450.593;2.405.001;2.416.399;0.542216;1572629
28/09/1987;2.405.001;2.507.584;2.405.001;2.461.991;0.552446;2103419
29/09/1987;2.496.186;2.518.982;2.484.788;2.496.186;0.560119;1139443
30/09/1987;2.439.195;2.461.991;2.439.195;2.450.593;0.549889;1647203
